Date,Open,High,Low,Close,Volume,Company,company
2024-10-21,0.4044313639273066,0.4372727789981102,0.4063844413068493,0.4512375587954925,-0.4534018345234211,price_powl,powl
2024-10-18,0.4383987043265415,0.4224181581529375,0.4215068759241827,0.4034839570373559,-0.4544590478730608,price_powl,powl
2024-10-17,0.4741976170022056,0.4577732520464299,0.4392617343452738,0.4270010842067743,-0.4528162705477719,price_powl,powl
2024-10-16,0.3979931098647065,0.4430282593993764,0.4082887478882912,0.453616938720869,-0.452428615833889,price_powl,powl
2024-10-15,0.3688544600124217,0.3587789891446511,0.3194024377486318,0.3659672224000252,-0.4528838955070869,price_powl,powl
2024-10-14,0.3594745898694957,0.3704543922443625,0.3688583998490219,0.3766467648557846,-0.4535957320161843,price_powl,powl
2024-10-11,0.2693390329930951,0.3429377145164042,0.2859090455220936,0.3572243845346886,-0.4522700667952793,price_powl,powl
2024-10-10,0.3020298230178488,0.2900421089238147,0.2237390365397232,0.2690213240451524,-0.4509680092919696,price_powl,powl
2024-10-09,0.3148508289528542,0.3267675552937992,0.318730329543417,0.3131781887067896,-0.4499561177103339,price_powl,powl
2024-10-08,0.2601811716109484,0.2879043590604873,0.2495591934233923,0.2974632143159312,-0.4519641203137154,price_powl,powl
2024-10-07,0.2580720883835449,0.2913576473012471,0.2626653034250812,0.2633772135244919,-0.451595023538263,price_powl,powl
2024-10-04,0.2269908618744412,0.2583595596673207,0.2344927678231602,0.2466662196299877,-0.4515219560391815,price_powl,powl
2024-10-03,0.1859747433204631,0.2250874015380961,0.1664978210622614,0.1870710526618381,-0.4517639526784893,price_powl,powl
2024-10-02,0.1782599388833821,0.1757547123843857,0.1676740104213872,0.1836403188159464,-0.4519419854483764,price_powl,powl
2024-10-01,0.1228687530689437,0.1594201108646017,0.1041597850285871,0.1665419840033575,-0.4513584273572288,price_powl,powl
2024-11-19,-1.0733422011050888,-1.0753770986527684,-1.0704613216185053,-1.0722849408647317,0.6865223670612082,price_nio,nio
2024-11-18,-1.0741192317678163,-1.0753770986527684,-1.0700692584987963,-1.0720636031972546,0.215099615937988,price_nio,nio
2024-11-15,-1.0750350179060313,-1.0766926370302008,-1.0711334298237198,-1.0730596227009004,0.1916989673427286,price_nio,nio
2024-11-14,-1.0743134894334985,-1.0759252396433652,-1.070741366704011,-1.0733916292021155,0.1018328869188476,price_nio,nio
2024-11-13,-1.073813969721745,-1.0757059832471263,-1.0700132494816954,-1.0723956096984697,0.1752008759149705,price_nio,nio
2024-11-12,-1.0725929215374588,-1.0746645153649923,-1.0699012314474927,-1.0725616129490774,0.758512074942962,price_nio,nio
2024-11-11,-1.070927855831614,-1.072746021897904,-1.067548852729241,-1.069905560939355,0.2615980806774279,price_nio,nio
2024-11-08,-1.0710388602120036,-1.0729104641950828,-1.0674648392035893,-1.0697395576887474,0.3543841538218496,price_nio,nio
2024-11-07,-1.07065034488064,-1.0720882527091875,-1.066820175416754,-1.0685222005176245,0.3348968596446647,price_nio,nio
2024-11-06,-1.0719268952551209,-1.073020092393202,-1.0683329789686582,-1.0702375674405704,0.6826983095713641,price_nio,nio
2024-11-05,-1.0703728339296656,-1.0719238104120086,-1.0663166543530138,-1.068688203768232,-0.0085434887780164,price_nio,nio
2024-11-04,-1.071205366782588,-1.072362323204486,-1.066876744524026,-1.0694628856044013,0.0578568008993794,price_nio,nio
2024-11-01,-1.0711498645923934,-1.0729652782941426,-1.067548852729241,-1.0696842232718782,0.1589366593983635,price_nio,nio
2024-10-31,-1.0702618295492758,-1.0723075091054264,-1.0672688076437349,-1.0696842232718782,0.247667184759729,price_nio,nio
2024-10-30,-1.0694847988865483,-1.0715949258176505,-1.065868582216204,-1.0683008628501476,0.3477884268472659,price_nio,nio
2024-10-29,-1.0669316981375865,-1.0690460702113755,-1.064244320720268,-1.0669175024284172,0.4458672296429503,price_nio,nio
2024-10-28,-1.0698178120277173,-1.0683608939731295,-1.0654765190964952,-1.0657554796741635,1.0852989670655822,price_nio,nio
2024-10-25,-1.071593882113952,-1.0720882527091875,-1.0674928437121398,-1.0687988726019706,0.4951016507067034,price_nio,nio
